"name","B"
"Jackson Greer","R"
"Sean Harrington","L"
"IV, Harris","R"
"Buddy Hayward","R"
"Will Heflin","L"
"Hal Hughes","R"
"Jacob Hurtubise","L"
"Niko Kavadas","L"
"Tyler Keenan","L"
"Matt Koperniak","L"
"Chris Lanzilli","R"
"Joseph Lomuscio","R"
"Michael Ludowig","L"
"Eduardo Malinowski","R"
"Max Marusak","R"
"Connor McCullough","R"
"Antonio Menendez","R"
"Sean Miller","R"
"Dylan Neuse","R"
"Caden OBrien","R"
"Matt Oldham","L"
"Devin Ortiz","R"
"Jacob Palisch","L"
"Michael Rothenberg","S"
"Connor Sechler","R"
"Bobby Seymour","L"
"Carson Seymour","R"
"Evan Shawver","R"
"Ryan Smith","L"
"Nick Stewart","R"
"Wade Strain","R"
"John Teehan","R"
"Cameron Thompson","L"
"Riley Tirotta","R"
"Greg Tobin","L"
"Tommy Vail","R"
"Hunter Waldis","R"
"Jared Wetherbee","L"
"Jr., Wiemer","R"
"Patrick Winkel","L"
"Connor Yoder","R"
"Nick Zwack","L"
"Ben Abram","R"
"Glenn Albanese","R"
"Tanner Allen","L"
"Konnor Ash","R"
"Brooks Carlson","R"
"Billy Corcoran","R"
"Nolan Crisp","R"
"Trevor DeLaite","R"
"Jared DeSantolo","L"
"Tyler Drabick","R"
"Lucas Dunn","R"
"Ian Fair","R"
"PatrickP Fredrickson","R"
"Alex Garbrick","R"
"Hunter Goodman","R"
"Adam Hackenberg","R"
"Trevor Hauver","L"
"Jonathan Hughes","R"
"Holt Jones","R"
"Rowdey Jordan","S"
"Edouard Julien","L"
"Landon Kelly","R"
"Nathan Lavender","L"
"Nick Loftin","R"
"Tyler Mattison","L"
"Angus McCloskey","R"
"Tommy McCollum","R"
"Chad McDaniel","S"
"Griff McGarry","R"
"Mitch McIntyre","L"
"Justin Mitchell","R"
"Nick Mondak","L"
"David Moore","L"
"Rigsby Mosley","L"
"Kyle Murphy","R"
"Jackson Olson","L"
"Cole Pletka","R"
"Joseph Quintal","R"
"Jonah Scolaro","L"
"Fox Semones","R"
"Anthony Servideo","L"
"TJ Stuart","R"
"Joe Sullivan","L"
"Bryce Teodosio","R"
"Samuel Thoresen","R"
"Jordan Westburg","R"
"Kyle Whitten","R"
"Adam Zeratsky","S"
"Andrew Abbott","L"
"David Avitia","R"
"Donovan Benoit","R"
"Zach Britton","L"
"Zach Daniels","R"
"Jake Eder","L"
"Rob Emery","R"
"Isaac Esqueda","L"
"Trevin Esquerra","S"
"Kamron Fields","R"
"Nick Frasso","R"
"Nick Garcia","L"
"Raymond Gil","R"
"Matthew Goodheart","L"
"Michael Hobbs","R"
"Jacob Hurtubise","L"
"Michael Johnson","R"
"Trevor Johnson","R"
"Dominic Keegan","R"
"Zach Kokoska","L"
"Jordan Lala","L"
"Jared Leins","R"
"AJ Lewis","R"
"Carter Lohman","L"
"Austin Love","R"
"Julio Marcano","R"
"Eddie McCabe","R"
"Dawson McCarville","R"
"Reid McLaughlin","R"
"Tim Miller","R"
"Tanner Murray","R"
"Connor Pellerin","R"
"Jeffrey Praml","R"
"Benjamin Sears","R"
"Adam Seminaris","R"
"Danny Serretti","S"
"Owen Sharts","R"
"Justin Showalter","R"
"Jared Shuster","L"
"Noah Skirrow","R"
"Angelo Smith","L"
"David Stiehl","R"
"Hayden Thomas","R"
"Max Troiani","R"
"Mike Vasil","L"
"Zebulon Vermillion","L"
"Chase Wallace","R"
"Shay Whitcomb","R"
"Cole Wilcox","R"
"Josh Zamora","R"
"Mike Antico","L"
"Darren Baker","L"
"Joseph Baran","L"
"Dallas Beaver","L"
"Ian Bedell","R"
"Tanner Bibee","R"
"Jack Blomgren","R"
"Brendan Cellucci","L"
"Quinn Cleary","R"
"Coy Cobb","R"
"Aaron Davenport","R"
"Castillo, Del","L"
"Pete Derkay","L"
"Trey Dillard","R"
"Kevin Eaise","R"
"Bryce Elder","R"
"Jack Enger","R"
"Lane Flamm","L"
"William Fleming","R"
"Justin Foscue","R"
"Jonathan Gates","L"
"Brooks Gosswein","L"
"Kameron Guangorena","L"
"Garrett Irvin","L"
"Conor Larkin","R"
"Cole Larsen","R"
"Ben Leeper","R"
"Trey Lipscomb","R"
"Zack Mathis","L"
"ChristopherP Mauloni","L"
"Matt McLain","R"
"Tevin Murray","L"
"Toranosuke Otsuka","L"
"Trent Palmer","R"
"Brandon Pfaadt","R"
"DJ Poteet","S"
"Levi Prater","S"
"David Rhodes","R"
"Nicholas Richmond","R"
"Joe Rock","R"
"Landen Roupp","R"
"Matthew Rudick","L"
"Jason Ruffcorn","R"
"Quentin Selma","L"
"Benjamin Sems","L"
"Drew Sims","R"
"Cole Stetzar","R"
"Chad Stevens","R"
"Jacob Teter","L"
"Andrew Thomas","L"
"Eric Torres","L"
"Lukas Veinbergs","R"
"Braiden Ward","L"
"Michael Webb","L"
"Austin Weiermiller","L"
